"date","c","kd","l","m","mp","s","sd","v","ovr","riksdagsspärr"
2020-03-07,8.71743015313338,7.08470632841864,3.99635845246768,18.5986836394316,3.95748454007488,22.8658102419139,22.8205483785633,10.6485654714544,1.31041279454209,4
2020-03-08,8.71743015313338,7.08470632841864,3.99635845246768,18.5986836394316,3.95748454007488,22.8658102419139,22.8205483785633,10.6485654714544,1.31041279454209,4
2020-03-09,8.71743015313338,7.08470632841864,3.99635845246768,18.5986836394316,3.95748454007488,22.8658102419139,22.8205483785633,10.6485654714544,1.31041279454209,4
2020-03-10,8.71743015313338,7.08470632841864,3.99635845246768,18.5986836394316,3.95748454007488,22.8658102419139,22.8205483785633,10.6485654714544,1.31041279454209,4
2020-03-11,8.71743015313338,7.08470632841864,3.99635845246768,18.5986836394316,3.95748454007488,22.8658102419139,22.8205483785633,10.6485654714544,1.31041279454209,4
2020-03-12,8.57884756670427,6.96072210052831,4.03869845047948,18.3363956898287,3.97386811680565,23.2530387122107,22.547176032752,10.8783495364234,1.43290379426746,4
2020-03-13,8.57884756670427,6.96072210052831,4.03869845047948,18.3363956898287,3.97386811680565,23.2530387122107,22.547176032752,10.8783495364234,1.43290379426746,4
2020-03-14,8.57884756670427,6.96072210052831,4.03869845047948,18.3363956898287,3.97386811680565,23.2530387122107,22.547176032752,10.8783495364234,1.43290379426746,4
2020-03-15,8.57884756670427,6.96072210052831,4.03869845047948,18.3363956898287,3.97386811680565,23.2530387122107,22.547176032752,10.8783495364234,1.43290379426746,4
2020-03-16,8.57884756670427,6.96072210052831,4.03869845047948,18.3363956898287,3.97386811680565,23.2530387122107,22.547176032752,10.8783495364234,1.43290379426746,4
2020-03-17,8.57884756670427,6.96072210052831,4.03869845047948,18.3363956898287,3.97386811680565,23.2530387122107,22.547176032752,10.8783495364234,1.43290379426746,4
2020-03-18,8.57884756670427,6.96072210052831,4.03869845047948,18.3363956898287,3.97386811680565,23.2530387122107,22.547176032752,10.8783495364234,1.43290379426746,4
